iter	Passed	Remaining
0	140	140365
1	141	70697
2	142	47436
3	143	35722
4	144	28715
5	145	24058
6	146	20768
7	147	18279
8	148	16341
9	149	14772
10	150	13491
11	150	12421
12	152	11603
13	153	10840
14	154	10172
15	155	9581
16	157	9096
17	158	8644
18	159	8222
19	160	7847
20	161	7512
21	162	7209
22	163	6925
23	164	6669
24	164	6430
25	165	6210
26	167	6050
27	168	5863
28	169	5680
29	170	5508
30	171	5359
31	172	5220
32	173	5092
33	174	4964
34	176	4855
35	177	4745
36	178	4656
37	179	4552
38	180	4451
39	181	4355
40	183	4284
41	184	4202
42	185	4123
43	186	4042
44	186	3966
45	187	3894
46	191	3891
47	194	3848
48	196	3810
49	200	3810
50	202	3772
51	205	3741
52	207	3700
53	208	3654
54	210	3610
55	211	3569
56	214	3541
57	216	3518
58	217	3472
59	219	3432
60	220	3393
61	221	3350
62	223	3328
63	225	3291
64	226	3257
65	227	3221
66	228	3186
67	229	3150
68	231	3122
69	233	3099
70	236	3091
71	238	3071
72	240	3050
73	244	3063
74	246	3036
75	248	3024
76	250	2999
77	251	2971
78	252	2943
79	253	2917
80	255	2896
81	259	2900
82	260	2880
83	262	2861
84	263	2837
85	269	2866
86	273	2867
87	275	2856
88	276	2833
89	277	2808
90	279	2789
91	280	2767
92	282	2753
93	284	2740
94	285	2719
95	287	2708
96	289	2690
97	290	2670
98	291	2652
99	292	2635
100	294	2619
101	294	2596
102	296	2579
103	297	2560
104	301	2566
105	303	2563
106	308	2571
107	309	2556
108	311	2546
109	312	2532
110	314	2515
111	315	2499
112	316	2483
113	318	2471
114	318	2454
115	319	2438
116	321	2427
117	322	2411
118	323	2396
119	324	2382
120	326	2368
121	328	2360
122	329	2348
123	334	2361
124	336	2357
125	338	2348
126	339	2336
127	340	2321
128	341	2308
129	343	2295
130	345	2288
131	346	2275
132	347	2263
133	349	2255
134	351	2255
135	354	2255
136	357	2254
137	358	2241
138	359	2229
139	361	2219
140	362	2211
141	363	2198
142	365	2189
143	366	2179
144	367	2167
145	368	2156
146	369	2144
147	370	2134
148	373	2132
149	377	2140
150	380	2138
151	381	2127
152	382	2117
153	383	2106
154	384	2096
155	385	2086
156	386	2075
157	387	2065
158	388	2055
159	389	2046
160	391	2038
161	393	2033
162	394	2024
163	396	2019
164	398	2017
165	400	2013
166	404	2017
167	405	2010
168	407	2004
169	408	1995
170	409	1986
171	410	1976
172	411	1967
173	412	1959
174	414	1952
175	415	1944
176	416	1937
177	417	1929
178	418	1921
179	419	1912
180	420	1902
181	421	1894
182	423	1890
183	424	1884
184	425	1876
185	427	1869
186	428	1861
187	428	1852
188	430	1847
189	432	1841
190	433	1834
191	434	1826
192	434	1818
193	436	1811
194	437	1805
195	438	1799
196	439	1792
197	440	1785
198	442	1779
199	444	1776
200	449	1785
201	451	1783
202	453	1780
203	454	1775
204	455	1768
205	457	1763
206	458	1757
207	460	1751
208	461	1744
209	462	1738
210	463	1734
211	465	1728
212	466	1722
213	467	1716
214	468	1710
215	469	1705
216	471	1700
217	472	1695
218	475	1695
219	482	1708
220	483	1704
221	484	1699
222	486	1694
223	488	1692
224	489	1687
225	490	1681
226	492	1675
227	493	1670
228	494	1664
229	495	1659
230	496	1653
231	498	1649
232	499	1644
233	502	1644
234	508	1653
235	509	1649
236	512	1648
237	514	1648
238	516	1644
239	517	1638
240	519	1635
241	520	1631
242	522	1626
243	523	1620
244	523	1614
245	524	1608
246	525	1602
247	526	1595
248	527	1590
249	528	1586
250	531	1585
251	535	1590
252	538	1591
253	540	1587
254	541	1583
255	542	1577
256	544	1573
257	545	1568
258	546	1562
259	548	1559
260	549	1554
261	549	1548
262	550	1543
263	551	1538
264	552	1533
265	553	1528
266	554	1522
267	555	1517
268	556	1512
269	557	1506
270	558	1503
271	559	1497
272	560	1492
273	561	1487
274	562	1483
275	564	1480
276	566	1477
277	568	1477
278	570	1474
279	572	1471
280	573	1467
281	575	1464
282	576	1460
283	577	1455
284	578	1450
285	578	1445
286	579	1440
287	580	1436
288	581	1430
289	582	1425
290	583	1421
291	584	1416
292	585	1412
293	586	1407
294	587	1403
295	588	1398
296	588	1394
297	590	1389
298	591	1386
299	592	1382
300	593	1378
301	594	1374
302	595	1369
303	596	1366
304	598	1363
305	599	1358
306	600	1354
307	601	1351
308	602	1346
309	603	1342
310	603	1337
311	605	1334
312	605	1329
313	606	1325
314	607	1321
315	608	1316
316	609	1312
317	610	1308
318	611	1304
319	612	1300
320	612	1296
321	613	1292
322	614	1288
323	615	1284
324	616	1280
325	617	1277
326	620	1276
327	621	1273
328	622	1269
329	623	1265
330	624	1261
331	624	1257
332	625	1253
333	626	1249
334	627	1245
335	628	1242
336	629	1238
337	630	1234
338	631	1230
339	632	1227
340	633	1224
341	634	1220
342	635	1216
343	636	1213
344	637	1211
345	639	1208
346	640	1204
347	641	1202
348	644	1201
349	647	1201
350	651	1203
351	652	1200
352	653	1197
353	654	1193
354	656	1193
355	660	1194
356	661	1192
357	663	1189
358	665	1187
359	666	1184
360	667	1180
361	667	1177
362	668	1173
363	669	1170
364	670	1166
365	671	1163
366	672	1160
367	674	1157
368	675	1155
369	676	1152
370	678	1150
371	679	1146
372	680	1143
373	681	1140
374	682	1136
375	682	1133
376	684	1130
377	686	1129
378	691	1133
379	694	1132
380	697	1133
381	698	1130
382	699	1127
383	700	1124
384	701	1121
385	702	1117
386	703	1114
387	704	1111
388	705	1108
389	707	1105
390	707	1102
391	708	1099
392	709	1096
393	711	1093
394	711	1090
395	712	1087
396	713	1084
397	714	1081
398	716	1078
399	717	1076
400	718	1073
401	719	1070
402	720	1067
403	721	1064
404	722	1060
405	723	1057
406	723	1054
407	724	1051
408	726	1049
409	727	1046
410	728	1043
411	730	1042
412	732	1040
413	734	1040
414	737	1039
415	738	1037
416	740	1035
417	742	1033
418	742	1030
419	743	1027
420	744	1024
421	746	1021
422	747	1019
423	748	1016
424	749	1013
425	750	1010
426	751	1008
427	752	1005
428	753	1002
429	754	999
430	755	997
431	756	994
432	757	992
433	758	989
434	759	986
435	760	983
436	761	980
437	762	977
438	762	975
439	763	972
440	765	970
441	766	967
442	767	965
443	768	962
444	769	959
445	770	957
446	771	954
447	772	951
448	773	949
449	774	946
450	775	943
451	776	941
452	777	938
453	778	935
454	779	933
455	780	931
456	781	928
457	782	926
458	783	923
459	784	921
460	788	921
461	789	919
462	791	917
463	792	915
464	795	915
465	797	913
