iter	Passed	Remaining
0	148	148439
1	154	77101
2	160	53175
3	162	40497
4	164	32692
5	166	27621
6	167	23776
7	168	20918
8	169	18678
9	170	16916
10	171	15448
11	172	14240
12	175	13312
13	178	12567
14	179	11798
15	182	11215
16	183	10600
17	184	10074
18	185	9585
19	186	9145
20	187	8746
21	188	8371
22	189	8039
23	190	7737
24	191	7471
25	192	7210
26	193	6969
27	194	6739
28	195	6535
29	196	6343
30	197	6163
31	198	5997
32	199	5842
33	200	5698
34	201	5561
35	204	5464
36	206	5385
37	211	5343
38	212	5232
39	214	5148
40	215	5043
41	216	4946
42	217	4849
43	218	4754
44	220	4680
45	221	4597
46	222	4512
47	223	4432
48	224	4360
49	225	4282
50	226	4214
51	227	4153
52	228	4085
53	229	4022
54	230	3967
55	232	3917
56	233	3858
57	234	3807
58	235	3755
59	236	3703
60	237	3650
61	237	3599
62	238	3551
63	239	3505
64	240	3459
65	241	3415
66	242	3373
67	243	3332
68	243	3292
69	245	3255
70	246	3219
71	247	3184
72	247	3147
73	248	3113
74	250	3086
75	251	3056
76	254	3049
77	255	3018
78	256	2985
79	257	2958
80	259	2939
81	260	2921
82	262	2901
83	266	2910
84	267	2883
85	268	2857
86	269	2831
87	270	2806
88	271	2780
89	272	2755
90	273	2733
91	275	2719
92	277	2709
93	279	2690
94	280	2673
95	281	2650
96	282	2631
97	283	2608
98	284	2587
99	285	2569
100	288	2565
101	289	2549
102	290	2531
103	291	2512
104	292	2495
105	293	2476
106	295	2462
107	296	2445
108	296	2426
109	297	2409
110	298	2391
111	299	2374
112	300	2359
113	301	2345
114	302	2329
115	303	2312
116	304	2295
117	304	2279
118	305	2264
119	307	2251
120	309	2251
121	311	2238
122	313	2231
123	314	2222
124	316	2212
125	317	2198
126	317	2184
127	318	2170
128	319	2156
129	320	2145
130	321	2134
131	322	2122
132	323	2110
133	324	2100
134	325	2087
135	326	2076
136	327	2063
137	328	2051
138	329	2038
139	329	2026
140	330	2015
141	331	2002
142	332	1993
143	333	1982
144	334	1971
145	335	1962
146	336	1951
147	337	1941
148	338	1931
149	339	1923
150	340	1913
151	341	1904
152	342	1895
153	344	1892
154	346	1887
155	349	1891
156	350	1883
157	351	1873
158	352	1863
159	353	1855
160	353	1844
161	354	1835
162	355	1826
163	356	1819
164	358	1815
165	359	1807
166	360	1798
167	361	1790
168	362	1781
169	363	1774
170	366	1776
171	367	1767
172	367	1759
173	369	1755
174	372	1756
175	373	1749
176	374	1741
177	375	1733
178	376	1725
179	377	1718
180	378	1710
181	379	1705
182	380	1697
183	381	1690
184	381	1682
185	382	1675
186	383	1667
187	384	1662
188	385	1655
189	386	1647
190	387	1640
191	388	1633
192	389	1626
193	390	1620
194	391	1614
195	391	1607
196	392	1601
197	393	1594
198	394	1587
199	395	1581
200	396	1574
201	397	1568
202	399	1569
203	401	1565
204	404	1567
205	405	1563
206	407	1561
207	408	1555
208	409	1549
209	410	1543
210	411	1537
211	412	1531
212	413	1526
213	413	1520
214	415	1516
215	416	1511
216	417	1507
217	419	1505
218	421	1501
219	422	1497
220	423	1492
221	424	1486
222	425	1481
223	427	1480
224	429	1478
225	430	1473
226	431	1468
227	432	1463
228	433	1458
229	434	1453
230	435	1448
231	437	1447
232	438	1442
233	440	1440
234	441	1435
235	442	1432
236	444	1432
237	446	1428
238	447	1425
239	449	1422
240	450	1417
241	454	1424
242	460	1433
243	461	1430
244	463	1427
245	464	1423
246	465	1418
247	466	1414
248	467	1410
249	468	1406
250	469	1400
251	470	1397
252	472	1395
253	474	1392
254	475	1387
255	475	1382
256	476	1378
257	479	1379
258	480	1374
259	484	1377
260	485	1375
261	486	1370
262	487	1367
263	490	1367
264	491	1363
265	492	1359
266	493	1355
267	496	1356
268	497	1352
269	499	1351
270	500	1347
271	501	1342
272	502	1338
273	503	1334
274	504	1330
275	505	1326
276	506	1321
277	507	1317
278	508	1314
279	510	1311
280	512	1310
281	513	1306
282	514	1302
283	520	1312
284	522	1309
285	524	1310
286	525	1306
287	528	1305
288	529	1303
289	531	1302
290	532	1297
291	533	1294
292	538	1298
293	541	1300
294	542	1297
295	544	1294
296	545	1291
